"オランジェットパウチ 49g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、蜜漬けオレンジピール、全粉乳、植物油脂、ココアバター、乳糖、水あめ、還元水あめ／香料、乳化剤、酸味料、増粘剤（アラビアガム）、光沢剤、酸化防止剤（ローズマリー抽出物）、（一部に乳成分・オレンジ・大豆を含む）
"アポロ 46g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、カカオマス、乳糖、全粉乳、脱脂粉乳、ココアバター、いちごパウダー／乳化剤、着色料（ビートレッド、フラボノイド）、香料、（一部に乳成分・大豆を含む）
"アポロジャンボ 82g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、植物油脂、カカオマス、乳糖、全粉乳、脱脂粉乳、ココアバター、いちごパウダー／乳化剤、着色料（ビートレッド、フラボノイド）、香料、（一部に乳成分・大豆を含む）
"手づくりアポロ 30g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",ホワイトクリーム（国内製造）（砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター）、（準）チョコレート（砂糖、植物油脂、全粉乳、カカオマス、脱脂粉乳、ココアパウダー）、ピンククリーム（砂糖、植物油脂、乳糖、全粉乳、脱脂粉乳、ココアバター、いちごパウダー）、カラフルミンツ（砂糖、でん粉）／乳化剤、着色料（ビートレッド、フラボノイド、クチナシ、カロチノイド）、酸味料、香料、増粘多糖類、（一部に乳成分・大豆を含む）
"アポロ袋 12袋 | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖（外国製造、国内製造）、植物油脂、カカオマス、乳糖、全粉乳、脱脂粉乳、ココアバター、いちごパウダー／乳化剤、着色料（ビートレッド、フラボノイド）、香料、（一部に乳成分・大豆を含む）
"アポロマイスタイル 41g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",植物油脂、砂糖、カカオマス、マルチトール、全粉乳、乳糖、いちごパウダー、クリーミングパウダー、ココアバター、脱脂粉乳／乳化剤、光沢剤、香料、着色料（ビートレッド、フラボノイド）、酸味料、酸化防止剤（ローズマリー抽出物）、（一部に乳成分・大豆を含む）
"マーブル 32g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター、植物油脂、でん粉、水あめ、ゼラチン／卵殻カルシウム、乳化剤、増粘剤（アラビアガム）、着色料（フラボノイド、クチナシ、カロチノイド、ビートレッド、スピルリナ青、イカ墨）、香料、光沢剤、セルロース、（一部に卵・乳成分・いか・大豆・ゼラチンを含む）
"マーブルジャンボ 110g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター、植物油脂、でん粉、水あめ、ゼラチン／卵殻カルシウム、乳化剤、増粘剤（アラビアガム）、着色料（フラボノイド、クチナシ、カロチノイド、ビートレッド、スピルリナ青、イカ墨）、香料、光沢剤、セルロース、（一部に卵・乳成分・いか・大豆・ゼラチンを含む）
"チョコベビー 32g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター、植物油脂／乳化剤、香料、光沢剤、（一部に乳成分・大豆を含む）
"チョコベビージャンボ 102g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、カカオマス、全粉乳、ココアバター、植物油脂／乳化剤、香料、光沢剤、（一部に乳成分・大豆を含む）
"コーヒービート 32g | チョコレート | 株式会社 明治 - Meiji Co., Ltd.",砂糖、全粉乳、ココアバター、乳糖、カカオマス、クリーミングパウダー、植物油脂、コーヒー、でん粉、水あめ、ゼラチン／乳化剤、タマリンド色素、増粘剤（アラビアガム）、香料、光沢剤、卵殻カルシウム、（一部に卵・乳成分・大豆・ゼラチンを含む）
